team_id,team_name,short_name,strength,stadium,manager
481,Arsenal,ARS,4,Emirates Stadium,
482,Aston Villa,AVL,3,Villa Park,
483,Bournemouth,BOU,3,Dean Court,
484,Brentford,BRE,3,Brentford Community Stadium,
485,Brighton & Hove Albion,BHA,3,Falmer Stadium,
486,Burnley,BUR,2,Turf Moor,
487,Chelsea,CHE,3,Stamford Bridge,
488,Crystal Palace,CRY,3,Selhurst Park,
489,Everton,EVE,3,Goodison Park,
490,Fulham,FUL,3,Craven Cottage,
491,Liverpool,LIV,4,Anfield,
492,Luton Town,LUT,2,Kenilworth Road,
493,Manchester City,MCI,5,City of Manchester Stadium,
494,Manchester United,MUN,4,Old Trafford,
495,Newcastle United,NEW,4,St James' Park,
496,Nottingham Forest,NFO,3,City Ground,
497,Sheffield United,SHU,2,Bramall Lane,
498,Tottenham Hotspur,TOT,3,Tottenham Hotspur Stadium,
499,West Ham United,WHU,3,London Stadium,
500,Wolverhampton Wanderers,WOL,3,Molineux Stadium,
501,Arsenal,ARS,4,Emirates Stadium,
502,Aston Villa,AVL,3,Villa Park,
503,Bournemouth,BOU,3,Dean Court,
504,Brentford,BRE,3,Brentford Community Stadium,
505,Brighton & Hove Albion,BHA,3,Falmer Stadium,
506,Burnley,BUR,2,Turf Moor,
507,Chelsea,CHE,3,Stamford Bridge,
508,Crystal Palace,CRY,3,Selhurst Park,
509,Everton,EVE,3,Goodison Park,
510,Fulham,FUL,3,Craven Cottage,
511,Liverpool,LIV,4,Anfield,
512,Luton Town,LUT,2,Kenilworth Road,
513,Manchester City,MCI,5,City of Manchester Stadium,
514,Manchester United,MUN,4,Old Trafford,
515,Newcastle United,NEW,4,St James' Park,
516,Nottingham Forest,NFO,3,City Ground,
517,Sheffield United,SHU,2,Bramall Lane,
518,Tottenham Hotspur,TOT,3,Tottenham Hotspur Stadium,
519,West Ham United,WHU,3,London Stadium,
520,Wolverhampton Wanderers,WOL,3,Molineux Stadium,
521,Arsenal,ARS,4,,
522,Aston Villa,AVL,3,,
523,Bournemouth,BOU,3,,
524,Brentford,BRE,3,,
525,Brighton & Hove Albion,BHA,3,,
526,Burnley,BUR,2,,
527,Chelsea,CHE,3,,
528,Crystal Palace,CRY,3,,
529,Everton,EVE,3,,
530,Fulham,FUL,3,,
531,Liverpool,LIV,4,,
532,Luton Town,LUT,2,,
533,Manchester City,MCI,5,,
534,Manchester United,MUN,4,,
535,Newcastle United,NEW,4,,
536,Nottingham Forest,NFO,3,,
537,Sheffield United,SHU,2,,
538,Tottenham Hotspur,TOT,3,,
539,West Ham United,WHU,3,,
540,Wolverhampton Wanderers,WOL,3,,
